crop,disease
Alder,Sooty Mold
Alfalfa,Downy Mildew
Alfalfa,Stemphylium Leaf Spot
Alfalfa,Summer Black Stem
Almond,Brown Rot
Almond,Stigmina Fungus
Alternateleaf Dogwood,Cryptodiaporthe Fungus
Alumroot,Rust
Amaryllis,Didymella Curtisii G.J. Jellis & Punith.
American Beech,Neonectria Coccinea
American Beech,Beech Leaf Disease
American Boxwood,Boxwood Blight
American Chestnut,Chestnut Blight Or Canker
American Elm,Dutch Elm Disease
Apple,Beech Bark Disease
Apple,Apple Scab
Apple,Fire Blight
Apple,Black Rot
Apple,Cedar-Apple Rust
Apple,Blue Mold
Arborvitae,Seiridium Cankers
Ash,Ash Rusts
Aspen/Poplar,Marssonina Leaf Spots
Aspen/Poplar,Cytospora Cankers
Austrian Pine,Diplodia Sapinea De Not.
Balsam Fir,Rhizosphaera Needle Cast
Balsam Fir,Fir-Fern Rust
Barley,Cochliobolus Leaf Spot
Basil,Basil Downy Mildew
Bermudagrass,Rust
Bermudagrass,Limonomyces Fungus
Birch,Powdery Mildew
Birch,Marssonina Leaf Spot
Black Cherry,Black Knot
Black Walnut,Thousand Cankers Disease
Bleeding Heart,Tobacco Rattle Virus
Blue Spruce,Ceropsora Weirii
Blue Spruce,Spruce Needle Rusts
Blue Spruce,Rhizosphaera Needle Cast
Boxwood,Boxwood Blight
Boxwood,Pseudonectria Buxi B.O. Dodge
Brazilian Gloxinia,Tomato Spotted Wilt Virus
Broccoli,Downy Mildew
Buckeye,Guignardia Blotch Of Buckeyes And Horsechestnuts
Burley Tobacco,Blue Mold
Burley Tobacco,"Rhizoctonia Damping-Off, Blight And Rot"
Burley Tobacco,Tomato Spotted Wilt Virus
Cabbage,Downy Mildew
Cabbage,Bacterial Soft Rot
Cabbage,Phytophthora Root And Stem Rot
Cabbage,Black Rot Of Crucifers
Cabbage,Club Root Of Crucifers
Cabbage Collards And Kale,Alternaria Black Molds / Stem Cankers
Camellia,Sudden Oak Death
Camellia,Camellia Flower Blight
"Cane Fruit (Blackberry, Raspberry)",Orange Rust
Carrot,Alternaria Black Molds / Stem Cankers
Carrot,Alternaria Blight
Cedar,Cryptosporiopsis Canker
Chickpea,Ascochyta Blight Of Chickpea
Chinese Cabbage,"Rhizoctonia Damping-Off, Blight And Rot"
Chokeberry,Entomosporium Leaf Spot
Citrus,Citrus Canker
Coleus,Downy Mildew
Common Bean,Beet Curly Top Virus
Common Bean,Halo Blight
Common Bean,Sclerotinia Timber Rot
Common Bean,Dry Bean Rust
Common Bean,"Common Bacterial  Blight Of Beans, Fuscous Blight"
Common Beet,"Rhizoctonia Damping-Off, Blight And Rot"
Common Filbert,Eastern Filbert Blight
Common Lilac,Cladosporium Fungi
Common Lilac,Anthracnose
Common Ninebark,Powdery Mildew
Common Pear,Pear Scab
Common Pear,Bitter Rot And Anthracnose
Common Sunflower,Rust
Common Sunflower,Sclerotinia Timber Rot
Corn,Southern Corn Rust
Corn,Bacterial Rot And Blight
Corn,Corn Smut
Corn,Common Corn Rust
Corn,Xanthomonas Vasicola
Corn,Gray Leaf Spot
Corn,Goss' Bacterial Wilt
Corn,Northern Corn Leaf Blight
Corn,Brown Spot Of Corn
Corn,White Ear Rot And Seedling Blight Of Maize
Corn,Anthracnose
Corn,Fusarium Graminearum Schwabe
Corn,Downy Mildew
Corn,Dry Rot Of Ears And Stalks Of Maize
Cornelian Cherry Dogwood,Brown Rot
Cotton,Corynespora Leaf Spot
Cowpea,Flower Blights
Crabapple And Apple,Japanese Apple Rust
Creeping Bentgrass,Anthracnose
Creeping Bentgrass,Dollar Spot
Crimson Fountaingrass,Take-All Root Rot
Cucumber,Cucurbit Downy Mildew
Cucumber,Anthracnose
Cucumber,Angular Leaf Spot Of Cucumber
Cucumber,Phytophthora Blight
Cucumber,Scab
Cucumber,Powdery Mildew
Cucumber,Corynespora Leaf Spot
Cucumber,Pythium Diseases
Cucumber,Bacterial Wilt
Cucumber,"Rhizoctonia Damping-Off, Blight And Rot"
Cucumber,Gummy Stem Blight
Cultivated Garlic,Alternaria Embellisia Togashi
Cultivated Garlic,Gray Molds
Cultivated Garlic,Onion Rust
Cultivated Garlic,Bread Mold
Cultivated Garlic,White Rot
Daphne,Tubercularia Cankers
Dark Tobacco,Phytophthora Blight
Doghobble,"Calonectria Cylindrospora Crous, Alfenas & M.J. Wingf."
Dogwood,Powdery Mildew
Dogwood,Dogwood Anthracnose
Double Impatiens,Downy Mildew
Douglas-Fir,Swiss Needle Cast
Douglas-Fir,Rhabdocline Needlecasts
Eastern Hemlock,Hemlock Tip Blight
Eastern Redcedar,Cedar-Apple Rust
Eastern White Pine,Caliciopsis Canker
Eastern White Pine,Needle Cast
Eastern White Pine,White Pine Blister Rust
Eastern White Pine,Stem Rot
Eastern White Pine,Septoria Leaf Spot And Cankers
Eastern White Pine,Leaf Blotch
Eggplant,Diaporthe Vexans Gratz
Eggplant,Phytophthora Blight
Elm,Dutch Elm Disease
Elm,Black Spot Of Elm
Elm,Bacterial Leaf Scorch
Epimedium,Tobacco Rattle Virus
European Birch,Septoria Leaf Spot
European Crabapple,Bitter Rot And Anthracnose
European Red Raspberry,Rust
European Red Raspberry,Gnomonia Cane Canker
Field Pea,Ascochyta Blight Of Pea
Fig/Banyan,Fig Rust
Flue-Cured Tobacco,Phytophthora Blight
