crop	disease	candidate_rows	kept_rows
Cucumber	Cucurbit Downy Mildew	285	285
Squash	Phytophthora Blight	255	255
Citrus	Citrus Canker	157	157
Watermelon	Phytophthora Blight	153	153
Lettuce	Sclerotinia Timber Rot	139	139
Cucumber	Anthracnose	125	125
Tomato	Tomato Spotted Wilt Virus	123	123
Tomato	Late Blight	119	119
Hops	Cucurbit Downy Mildew	107	107
Potato	Tomato Spotted Wilt Virus	100	100
Pepper	Phytophthora Blight	90	90
Watermelon	Gummy Stem Blight	90	90
Strawberry	Anthracnose	88	88
Squash	Cucurbit Downy Mildew	88	88
Sweet Potato	Penicillium Fungi	87	87
Singleleaf Pinyon	Pinyon Blister Rust	83	83
Eggplant	Phytophthora Blight	80	80
Watermelon	Anthracnose	78	78
Cucumber	Phytophthora Blight	77	77
Multiflora Rose	Rose Rosette Virus	72	72
Cabbage	Downy Mildew	71	71
Watermelon	Unknown Virus	68	68
Lettuce	Downy Mildew	67	67
Pepper	Tomato Spotted Wilt Virus	66	66
Sweet Potato	Scurf	61	61
Corn	Corn Smut	61	61
Potato	Late Blight	59	59
Soybean	Sclerotinia Timber Rot	59	59
Highbush Blueberry	Mummy Berry	59	59
Hops	Powdery Mildew	59	59
Watermelon	Bacterial Fruit Blotch	58	58
Sweet Potato	Streptomyces Soil Rot	56	56
Flue-Cured Tobacco	Phytophthora Blight	55	55
Soybean	Cercospora Blight	54	54
Saguaro	Bacterial Necrosis Of Giant Cactus	54	54
Black Walnut	Thousand Cankers Disease	51	51
Melon	Phytophthora Blight	50	50
Wheat	Zymoseptoria Tritici	50	50
Melon	Alternaria Leaf Blight	49	49
Melon	Gummy Stem Blight	49	49
Tomato	Early Blight	48	48
Cucumber	Angular Leaf Spot Of Cucumber	48	48
Grape	Powdery Mildew	46	46
Wheat	Karnal Bunt	46	46
Sweet Potato	Bread Mold	46	46
Watermelon	Cucurbit Downy Mildew	46	46
American Chestnut	Chestnut Blight Or Canker	46	46
Watermelon	Powdery Mildew	45	45
Sweet Potato	Sweet Potato Feathery Mottle Virus	45	45
Lettuce	Powdery Mildew	44	44
Spinach	Downy Mildew	44	44
Squash	Powdery Mildew	43	43
Sweet Potato	Southern Blight	42	42
Sweet Potato	Bacteria Wilt And Soft Rot	42	42
Melon	Monosporascus Root Rot	41	41
Wheat	Powdery Mildew	41	41
Black Cherry	Black Knot	40	40
Peach	Peach Leaf Curl	40	40
Common Bean	Common Bacterial  Blight Of Beans, Fuscous Blight	40	40
Apple	Apple Scab	40	40
Tomato	Tomato Leaf Mould	39	39
Basil	Basil Downy Mildew	39	39
Tomato	Phytophthora Blight	38	38
Scarlet Oak	Oak Leaf Blister	38	38
Peach	Brown Rot	38	38
Lemon	Green Mold	37	37
Wheat	Stripe Rust	37	37
Grape	Black Rot	37	37
Tomato	Southern Blight	36	36
Sweet Potato	Rhizopus Soft Rots	36	36
Common Filbert	Eastern Filbert Blight	36	36
Soybean	Downy Mildew	35	35
Sweet Potato	White Rust	35	35
Boxwood	Boxwood Blight	34	34
