Crop,Disease
Alfalfa,Downy Mildew
Alfalfa,Stemphylium Leaf Spot
Alfalfa,Summer Black Stem
Almond,Brown Rot
Almond,Stigmina Fungus
American Beech,Beech Leaf Disease
American Beech,Neonectria Coccinea
Apple,Apple Scab
Apple,Black Rot
Apple,Blue Mold
Apple,Cedar-Apple Rust
Apple,Fire Blight
Aspen/Poplar,Cytospora Cankers
Aspen/Poplar,Marssonina Leaf Spots
Balsam Fir,Fir-Fern Rust
Balsam Fir,Rhizosphaera Needle Cast
Bermudagrass,Limonomyces Fungus
Bermudagrass,Rust
Birch,Marssonina Leaf Spot
Birch,Powdery Mildew
Blue Spruce,Ceropsora Weirii
Blue Spruce,Rhizosphaera Needle Cast
Blue Spruce,Spruce Needle Rusts
Boxwood,Boxwood Blight
Boxwood,Pseudonectria Buxi B.O. Dodge
Burley Tobacco,Blue Mold
Burley Tobacco,"Rhizoctonia Damping-Off, Blight And Rot"
Burley Tobacco,Tomato Spotted Wilt Virus
Cabbage,Bacterial Soft Rot
Cabbage,Black Rot Of Crucifers
Cabbage,Club Root Of Crucifers
Cabbage,Downy Mildew
Cabbage,Phytophthora Root And Stem Rot
Camellia,Camellia Flower Blight
Camellia,Sudden Oak Death
Carrot,Alternaria Black Molds / Stem Cankers
Carrot,Alternaria Blight
Common Bean,Beet Curly Top Virus
Common Bean,"Common Bacterial  Blight Of Beans, Fuscous Blight"
Common Bean,Dry Bean Rust
Common Bean,Halo Blight
Common Bean,Sclerotinia Timber Rot
Common Lilac,Anthracnose
Common Lilac,Cladosporium Fungi
Common Pear,Bitter Rot And Anthracnose
Common Pear,Pear Scab
Common Sunflower,Rust
Common Sunflower,Sclerotinia Timber Rot
Corn,Anthracnose
Corn,Bacterial Rot And Blight
Corn,Brown Spot Of Corn
Corn,Common Corn Rust
Corn,Corn Smut
Corn,Downy Mildew
Corn,Dry Rot Of Ears And Stalks Of Maize
Corn,Fusarium Graminearum Schwabe
Corn,Goss' Bacterial Wilt
Corn,Gray Leaf Spot
Corn,Northern Corn Leaf Blight
Corn,Southern Corn Rust
Corn,White Ear Rot And Seedling Blight Of Maize
Corn,Xanthomonas Vasicola
Creeping Bentgrass,Anthracnose
Creeping Bentgrass,Dollar Spot
Cucumber,Angular Leaf Spot Of Cucumber
Cucumber,Anthracnose
Cucumber,Bacterial Wilt
Cucumber,Corynespora Leaf Spot
Cucumber,Cucurbit Downy Mildew
Cucumber,Gummy Stem Blight
Cucumber,Phytophthora Blight
Cucumber,Powdery Mildew
Cucumber,Pythium Diseases
Cucumber,"Rhizoctonia Damping-Off, Blight And Rot"
Cucumber,Scab
Cultivated Garlic,Alternaria Embellisia Togashi
Cultivated Garlic,Bread Mold
Cultivated Garlic,Gray Molds
Cultivated Garlic,Onion Rust
Cultivated Garlic,White Rot
Dogwood,Dogwood Anthracnose
Dogwood,Powdery Mildew
Douglas-Fir,Rhabdocline Needlecasts
Douglas-Fir,Swiss Needle Cast
Eastern White Pine,Caliciopsis Canker
Eastern White Pine,Needle Cast
Eastern White Pine,Stem Rot
Eastern White Pine,White Pine Blister Rust
Eggplant,Diaporthe Vexans Gratz
Eggplant,Phytophthora Blight
